or (le n m) (lt m n),[lemma_le_gt_cases_33]
or (le m n) (lt n m),[lemma_le_gt_cases_138]
le O n0,[lemma_le_0_l_67]
le (Init.Nat.max n m) (Init.Nat.max n (S m)),[lemma_max_le_Sr_0_86]
le (Init.Nat.mul n p) (Init.Nat.mul (S n) p),[lemma_le_mult_lS_168][lemma_le_mult_lS_174]
le (Init.Nat.mul n p) (Init.Nat.mul n q),[lemma_le_mult_r_202]
le (Init.Nat.add p (Init.Nat.mul n p)) (Init.Nat.add p (Init.Nat.mul n0 p)),[lemma_le_trans_161][lemma_add_le_mono_157]
le O (Init.Nat.add p (Init.Nat.mul n p)),[lemma_le_0_l_154]
le (Init.Nat.add p (Init.Nat.mul n p)) (Init.Nat.add p (Init.Nat.mul (S n) p)),[lemma_add_le_mono_162]
le m n,[lemma_lt_le_incl_32]
le (Init.Nat.mul n p) (Init.Nat.mul m p),[lemma_le_mult_l_186]
le n n0,[lemma_le_S_n_176]
@eq nat n m,[lemma_le_antisymm_133]
le O m,[lemma_le_0_l_109]
le m n0,[lemma_lt_n_Sm_le_342]
le (S n0) (S (S n0)),[lemma_le_succ_diag_r_63][lemma_le_succ_diag_r_61]
le (Init.Nat.add m (Init.Nat.mul n0 m)) (Init.Nat.add m (Init.Nat.add m (Init.Nat.mul n0 m))),[lemma_le_plus_r_112]
@eq nat n O,[lemma_le_0_r_152]
@eq nat (Init.Nat.max n0 O) n0,[lemma_max_l_66]
le m0 n0,[lemma_lt_n_Sm_le_345]
le (Init.Nat.add p (Init.Nat.mul (S n) p)) (Init.Nat.add p (Init.Nat.mul n0 p)),[lemma_add_le_mono_165]
le (S (Init.Nat.max n0 n1)) (S (Init.Nat.max n0 (S n1))),[lemma_le_n_S_71]
le (Init.Nat.mul n q) (Init.Nat.mul m q),[lemma_le_mult_l_200]
or (@eq nat n n0) (le (S n) n0),[lemma_le_disj_175]
le (Init.Nat.max n0 (S n1)) (Init.Nat.max n0 (S n1)),[lemma_le_n_n_75]
le (S (S n0)) (S (S n0)),[lemma_le_n_n_69]
le p p,[lemma_le_n_n_166][lemma_le_n_n_159][lemma_le_n_n_163]
@eq (option A) (MapGet A (M1 A x0 e) x0) (@Some A e),[lemma_M1_semantics_1_267]
le (Init.Nat.mul n0 p) (Init.Nat.mul n0 p),[lemma_le_n_n_170]
le (S n) m,[lemma_lt_le_S_136]
le (Init.Nat.max (S (S n0)) (S n1)) (Init.Nat.max (S (S n0)) (S (S n1))),[lemma_le_n_S_79]
le (Init.Nat.mul n p) (Init.Nat.mul m q),[lemma_le_trans_198]
le (Init.Nat.mul n p) (Init.Nat.mul n0 p),[lemma_le_trans_172]
"forall (n0 : nat) (_ : le n0 n0), le (S n0) (S n0)",[lemma_le_n_S_22]
@eq bool (N.eqb x x0) false,[lemma_not_true_is_false_277]
le (S O) (S O),[lemma_le_n_n_59]
le O (S O),[lemma_le_succ_diag_r_58]
@eq ad x x0,[lemma_Neqb_complete_274]
@eq (option A) (MapGet A (M1 A x e) x0) (@None A),[lemma_M1_semantics_2_273]
@eq bool (N.eqb a c) true,[lemma_Neqb_complete_327]
not (@eq bool false true),[lemma_diff_false_true_230]
not (@eq bool true false),[lemma_diff_true_false_228]
